JEDI_Industries,Total,16 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 64,65 over,JEDI_Index
Agriculture,2291.0,0.03317328677433435,0.06852902662592754,0.17939764295067656,0.17110432125709296,0.17677869925796597,0.18463553033609778,0.18681798341335662,1
Mining,603.0,0.013266998341625208,0.03814262023217247,0.24046434494195687,0.2935323383084577,0.21227197346600332,0.15920398009950248,0.04643449419568822,2
Construction,11271.0,0.0196078431372549,0.07505988820867714,0.22349392245586017,0.25596664004968506,0.20725756365894774,0.16174252506432438,0.05696034069736492,3
Manufacturing,10559.0,0.014300596647409793,0.06989298228998958,0.22634719196893646,0.21697130410076712,0.22625248603087414,0.1956624680367459,0.0504782649872147,4
Fabricated Metals,1539.0,0.016894087069525665,0.06692657569850552,0.21182586094866795,0.22547108512020791,0.19753086419753085,0.2189733593242365,0.06172839506172839,5
Machinery,1170.0,0.013675213675213675,0.06837606837606838,0.19914529914529913,0.20170940170940171,0.24017094017094018,0.21367521367521367,0.0641025641025641,6
Electrical Equipment,1449.0,0.006901311249137336,0.04623878536922015,0.21877156659765357,0.20910973084886128,0.23119392684610077,0.23533471359558317,0.05244996549344375,7
TCPU,12098.0,0.019011406844106463,0.0774508183170772,0.23904777649198214,0.21648206315093405,0.21160522400396758,0.17440899322202016,0.06207637626053893,8
Wholesale Trade,3451.0,0.01303969863807592,0.06230078238191829,0.2210953346855984,0.20602723848159954,0.22515212981744423,0.20168067226890757,0.07099391480730223,9
Retail Trade,16172.0,0.07717041800643087,0.15978233984664852,0.22489488003957459,0.16553302003462775,0.15415533020034627,0.1476626267623052,0.0707395498392283,10
FIRE,10725.0,0.005034965034965035,0.05454545454545454,0.2205128205128205,0.23421911421911423,0.21445221445221446,0.19505827505827505,0.07617715617715617,11
Misc. Services,54546.0,0.053404465955340444,0.09925567410992557,0.22201444652220145,0.20828291717082828,0.19431305686943132,0.15836174971583616,0.0643310233564331,12
Professional Services,19295.0,0.012282974863954393,0.0711065042757191,0.25623218450375745,0.23322104172065303,0.19808240476807462,0.16045607670380926,0.06867064006219228,13
Government,7410.0,0.004048582995951417,0.038866396761133605,0.20620782726045883,0.23265856950067476,0.24628879892037786,0.20985155195681512,0.06194331983805668,14
