State,Abbr,Caps,vlookup,local
Alabama,AL,ALABAMA,4310,100
Alaska,AK,ALASKA,163852,100
Arizona,AZ,ARIZONA,5,0
Arkansas,AR,ARKANSAS,4143,100
California,CA,CALIFORNIA,143114,100
Colorado,CO,COLORADO,167832,100
Connecticut,CT,CONNECTICUT,0,0
Delaware,DE,DELAWARE,0,0
Florida,FL,FLORIDA,1488,100
Georgia,GA,GEORGIA,0,0
Hawaii,HI,HAWAII,0,0
Idaho,ID,IDAHO,1,0
Illinois,IL,ILLINOIS,7166,100
Indiana,IN,INDIANA,1402,100
Iowa,IA,IOWA,0,0
Kansas,KS,KANSAS,28260,100
Kentucky,KY,KENTUCKY,2265,100
Louisiana,LA,LOUISIANA,36708,100
Maine,ME,MAINE,0,0
Maryland,MD,MARYLAND,0,0
Massachusetts,MA,MASSACHUSETTS,0,0
Michigan,MI,MICHIGAN,4197,100
Minnesota,MN,MINNESOTA,0,0
Mississippi,MS,MISSISSIPPI,14166,100
Missouri,MO,MISSOURI,62,0
Montana,MT,MONTANA,18985,100
Nebraska,NE,NEBRASKA,1674,100
Nevada,NV,NEVADA,196,100
New Hampshire,NH,NEW HAMPSHIRE,0,0
New Jersey,NJ,NEW JERSEY,0,0
New Mexico,NM,NEW MEXICO,370402,100
New York,NY,NEW YORK,275,100
North Carolina,NC,NORTH CAROLINA,0,0
North Dakota,ND,NORTH DAKOTA,434889,100
Ohio,OH,OHIO,23819,100
Oklahoma,OK,OKLAHOMA,171740,100
Oregon,OR,OREGON,0,0
Pennsylvania,PA,PENNSYLVANIA,5532,100
Rhode Island,RI,RHODE ISLAND,0,0
South Carolina,SC,SOUTH CAROLINA,0,0
South Dakota,SD,SOUTH DAKOTA,1047,100
Tennessee,TN,TENNESSEE,165,100
Texas,TX,TEXAS,1776449,100
Utah,UT,UTAH,30951,100
Vermont,VT,VERMONT,0,0
Virginia,VA,VIRGINIA,5,0
Washington,WA,WASHINGTON,0,0
West Virginia,WV,WEST VIRGINIA,19059,100
Wisconsin,WI,WISCONSIN,0,0
Wyoming,WY,WYOMING,89091,100
